,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Identity Strain,0.8458688147213665,0.2,0.692604406797761,0,0.9225543663369158,1,0.8833382887997232,0.0,-0.11340759255173216
Inclusion in Decision Making,0.8085921672817865,0.5,0.7150646847254011,0,0.9344166352808538,1,0.7924436745604456,0.5,-0.07005963001011484
Integration of Differences,0.8744474772955639,1.0,0.7288527217610352,0,0.9367260243423366,2,0.892763398165658,1.0,-0.009454989426570526
Interactional Justice Clarity,0.8879210203788575,1.8,0.8338225143141847,1,0.9349285131888396,2,0.8948562233060952,2.0,0.016283292997585085
Interest/Enjoyment Sales Self-Efficacy,0.9674994603557711,0.6,0.8743689413371629,0,1.0219069398936962,1,0.9740337057030489,1.0,-0.0398115748564539
International Employee Identity,0.8754020144514805,0.75,0.8103679221827773,0,0.9272127032568627,2,0.8820137161831412,0.5,-0.07474800223078537
Interpersonal Fairness Monitoring,0.7694942444907311,0.3333333333333333,0.66685698404146,0,0.9363220240170964,2,0.7569763101389665,0.0,-0.1982823190052474
Intraorganizational employee navigation,0.9819667770991092,2.0,0.9096649665909143,2,1.0469482373248598,2,0.9815670070044192,2.0,0.03300324509161072
Intrinsic Career Goal,0.8259266235548168,0.0,0.7798970571297766,0,0.8788342376197905,0,0.8142385296265782,0.0,-0.07448991745966076
Knowledge Stock,0.8227410372091709,0.0,0.7893169379139737,0,0.857908124425975,0,0.807791075160145,0.0,-0.07568283143871665
Loss Orientation,0.8393059055477418,0.0,0.7424667769964652,0,0.8837110779369356,0,0.8630397350354715,0.0,-0.12948746728797542
Moral Credits,0.9899372926132809,0.6,0.9681243181438278,0,1.0226096242051603,2,0.9837631308677447,0.0,-0.03397466623684977
Moral Identification,0.7840163392658142,0.6,0.7194088458622859,0,0.8570205212501043,1,0.7752917738206413,1.0,-0.10355648832296352
Naiveté,0.7712473449402037,0.0,0.7289082656366583,0,0.7943395906201615,0,0.7808707617519977,0.0,-0.1565298852639883
Organizational Support for Development,0.6283554432579196,0.0,0.5802101020924297,0,0.6818790412460345,0,0.6184395015707167,0.0,-0.21073871126345312
Oscillation Orientation,0.865543335764627,0.0,0.7913593987312697,0,0.9225382032453893,0,0.8827324053172222,0.0,-0.11200475139623345
Other Focus Credits,0.8931363150562386,1.5,0.6070654595339142,0,0.9990472368873133,2,0.9832162819018634,2.0,0.0015411046788592064
Perceived Career Opportunity,0.7078440952439736,0.0,0.6354991328759306,0,0.7620855310451939,0,0.7259476218107961,0.0,-0.21416729974429768
Performance Monitoring,1.0587155172836074,1.75,0.9737618960614547,1,1.1815452816205192,2,1.0397774457262277,2.0,0.019766118289048618
Personal Life Motives,0.6830573510329792,0.0,0.6364202332615803,0,0.7350146099984729,0,0.6803972804359317,0.0,-0.14197287463494795
