,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Shame,0.8100659549236298,1.5,0.7655232548713684,1,0.827785849571228,2,0.8234773576259613,1.5,0.0424535870552063
Skill/ability sales self-efficacy,0.8308829069137573,1.0,0.7861652374267578,1,0.8596757650375366,1,0.8353422284126282,1.0,0.13212330937385558
Social Exchange Relationship,0.7929394990205765,1.5,0.7789323329925537,0,0.8002938628196716,2,0.7962659001350403,2.0,-0.029847852885723114
State Gratitude,0.8369439601898193,1.0,0.7877594828605652,1,0.8747437000274658,1,0.8316088318824768,1.0,0.12146148085594177
Subjective Social Class,0.7232097486654917,0.0,0.7080625295639038,0,0.7406310439109802,0,0.7233453691005707,0.0,-0.028705065449078877
Superficial Reaction to Supervisor,0.7187088827292124,0.5,0.6742511987686157,0,0.7762669324874878,1,0.7113299667835236,0.5,-0.013762593269348145
Supervisor Enforcing Work Requirements/Flexibility,0.8519751280546188,2.0,0.8375623226165771,2,0.8767402768135071,2,0.8467989563941956,2.0,0.06563038378953934
Supervisor Follower Development,0.8715199828147888,1.5,0.864952564239502,1,0.877275824546814,2,0.8719257712364197,1.5,0.03183978796005249
Supervisor Intellectual Stimulation,0.8664811054865519,1.6666666666666667,0.8358317017555237,1,0.8843154311180115,2,0.8792961835861206,2.0,0.03670459985733032
Supervisor Solicitation of Voice,0.7851335257291794,0.25,0.7626587152481079,0,0.8249121904373169,1,0.7764815986156464,0.0,-0.0190264955163002
Supervisor Support for Recovery,0.7746871908505758,1.6666666666666667,0.7621147036552429,0,0.8029874563217163,2,0.7702848017215729,2.0,0.016977359851201374
Supervisor Team Building,0.8579762816429138,2.0,0.8341999053955078,2,0.8853495121002197,2,0.8546121120452881,2.0,0.011087709665298462
Supervisor Vision Communication,0.8937056362628937,1.5,0.8621339797973633,1,0.9431289434432983,2,0.8847798109054565,1.5,0.06931667774915695
Supervisor's Organizational Embodiment,0.8361486262745328,1.8888888888888888,0.8116483092308044,1,0.8618966341018677,2,0.837643563747406,2.0,0.057897756497065224
Supervisor-Triggered Newcomer Negative Affect,0.8629922196269035,1.875,0.8467762470245361,1,0.8925435543060303,2,0.8599044382572174,2.0,0.046630505472421646
Supervisor-Triggered Newcomer Positive Affect,0.860783576965332,2.0,0.8343222141265869,2,0.8925129175186157,2,0.8593669235706329,2.0,0.018207646906375885
Supportive Voice (Burris),0.8248104453086853,1.0,0.7557380199432373,1,0.8691912889480591,1,0.8371562361717224,1.0,0.06304877996444702
Supportive Voice (Maynes),0.8699642300605774,1.0,0.8551486730575562,1,0.8852959871292114,1,0.872378945350647,1.0,0.04850276112556458
Synchrony Preference,0.8201067447662354,1.0,0.7796601057052612,1,0.856026291847229,1,0.8223702907562256,1.0,0.12163688242435455
Team Temporal Leadership,0.8592889819826398,2.0,0.8349348306655884,2,0.8799104690551758,2,0.8570519685745239,2.0,0.054273903369903564
Tendency to Gossip,0.8632955402135849,1.0,0.8464003801345825,1,0.8790667057037354,1,0.8638575375080109,1.0,0.10060182958841324
Time Management Credits,0.8746897429227829,1.5,0.845532238483429,1,0.9301725625991821,2,0.8615270853042603,1.5,0.07703584432601929
Uniformity/Individualization Supervisor Behaviors,0.8956810355186462,1.0,0.8461717963218689,1,0.9173109531402588,1,0.9005570411682129,1.0,0.06853134632110595
Victim Identity,0.8959110379219055,2.0,0.8873889446258545,2,0.9010523557662964,2,0.8992918133735657,2.0,0.0875276227792104
Void Filling Stigmas,0.8794459402561188,2.0,0.8515733480453491,2,0.9288973808288574,2,0.8686565160751343,2.0,0.08826151490211487
Volunteering,0.873017692565918,2.0,0.8536585569381714,2,0.8845365047454834,2,0.8726470470428467,2.0,0.08513906002044677
Voracity,0.8632276892662049,1.4,0.8536376953125,1,0.8827851414680481,2,0.8594685792922974,1.0,0.06624962687492371
Wanderlust,0.8738001823425293,1.0,0.8273718953132629,1,0.9027560949325562,1,0.8758636713027954,1.0,0.11780922412872315
Work to Personal Conflict,0.881282651424408,1.8,0.827294111251831,1,0.9144821763038635,2,0.8935182094573975,2.0,0.08727874755859374
