,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Supervisor Intellectual Stimulation,0.329785297314326,0.0,0.1288888156414032,0,0.5662344098091125,0,0.29423266649246216,0.0,-0.5424220959345499
Supervisor Solicitation of Voice,0.6685240864753723,0.25,0.5437140464782715,0,0.7315868735313416,1,0.6993977129459381,0.0,-0.16812442988157272
Supervisor Support for Recovery,0.8842256665229797,0.8333333333333334,0.827641487121582,0,0.9392507076263428,1,0.8858740925788879,1.0,0.0035037298997243247
Supervisor Team Building,0.23705152422189713,0.0,0.09507698565721512,0,0.35637035965919495,0,0.22397270798683167,0.0,-0.6131025418639183
Supervisor Vision Communication,0.22460217587649822,0.5,0.06932276487350464,0,0.4174553155899048,2,0.20581531152129173,0.0,-0.4410525765269995
Supervisor's Organizational Embodiment,0.9206167459487915,0.7777777777777778,0.8339454531669617,0,0.9782477021217346,2,0.9296915531158447,0.0,-0.042137599653667875
Supervisor-Triggered Newcomer Negative Affect,0.6831504888832569,1.25,0.37023109197616577,0,0.8791572451591492,2,0.8379653990268707,2.0,-0.0602874793112278
Supervisor-Triggered Newcomer Positive Affect,0.6131028104573488,1.0,0.2398862987756729,0,0.919464647769928,2,0.6044577360153198,1.0,-0.15473024733364582
Supportive Voice (Burris),0.3287496268749237,0.5,0.054715774953365326,0,0.8064457774162292,2,0.22691847756505013,0.0,-0.42165352404117584
Supportive Voice (Maynes),0.3408337622880936,1.2,0.1461128145456314,0,0.5660936832427979,2,0.2990663945674896,2.0,-0.21383656784892083
Synchrony Preference,0.7571767419576645,0.0,0.5887574553489685,0,0.9432003498077393,0,0.7483745813369751,0.0,-0.2145029678940773
Team Temporal Leadership,0.5029742291995457,0.2857142857142857,0.3494400084018707,0,0.6003674864768982,2,0.5272049307823181,0.0,-0.17047678147043502
Tendency to Gossip,0.3961726427078247,0.0,0.2524162828922272,0,0.6160032153129578,0,0.35813553631305695,0.0,-0.44294610619544983
Time Management Credits,0.2715972405858338,0.0,0.01917247660458088,0,0.5833379030227661,0,0.24193929135799408,0.0,-0.6148550692014396
Uniformity/Individualization Supervisor Behaviors,0.012090225797146558,0.0,0.004043055698275566,0,0.040255650877952576,0,0.005355619825422764,0.0,-0.48864402817562225
Victim Identity,0.5632915099461874,1.3333333333333333,0.43443357944488525,0,0.702921986579895,2,0.5525189638137817,2.0,-0.1596271644035975
Void Filling Stigmas,0.0982949323952198,0.0,0.04316827282309532,0,0.1954687386751175,0,0.0772713590413332,0.0,-0.5968568623065948
Volunteering,0.5756320714950561,0.8,0.4478763937950134,0,0.6507887840270996,2,0.6327146291732788,0.0,-0.19544028043746947
Voracity,0.6166417360305786,0.0,0.5252010226249695,0,0.7018952369689941,0,0.6138343214988708,0.0,-0.2676467180252075
Wanderlust,0.245165453851223,0.4,0.05894188582897186,0,0.4879882037639618,2,0.23946207761764526,0.0,-0.4005484327673912
Work to Personal Conflict,0.4037318527698517,0.0,0.1540367305278778,0,0.7690832614898682,0,0.35403862595558167,0.0,-0.5172394394874573
