,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Supervisor-Triggered Newcomer Positive Affect,0.04029898032604251,2.0,0.0011585260508581996,2,0.25325438380241394,2,0.008890444179996848,2.0,-0.21482015764075868
Supportive Voice (Burris),0.1342705185579689,1.75,9.732752369018272e-05,1,0.4640113115310669,2,0.03648671758855926,2.0,0.13425836654766954
Supportive Voice (Maynes),0.49647469918709247,2.0,0.0006147077074274421,2,0.9678412079811096,2,0.6272974014282227,2.0,0.49644255087032435
Synchrony Preference,0.18968688883751383,2.0,1.5667674233554862e-05,2,0.6413178443908691,2,0.05870702164247632,2.0,0.18967074398506156
Team Temporal Leadership,0.077435049579695,1.0,0.00019087376131210476,1,0.33058008551597595,1,0.005697456654161215,1.0,0.07701630121235732
Tendency to Gossip,0.514934204518795,1.0,0.2718251943588257,1,0.8424618244171143,1,0.47272489964962006,1.0,0.5148035774141135
Time Management Credits,0.249464761684294,2.0,1.2768477063218597e-05,2,0.9975337982177734,2,0.0001562400211696513,2.0,0.24945300974684415
Uniformity/Individualization Supervisor Behaviors,0.7557987935841084,1.4,0.012751046568155289,1,0.9976321458816528,2,0.8911125063896179,1.0,0.7246369554894045
Victim Identity,0.9543252984682719,1.6666666666666667,0.9281899929046631,1,0.9755802750587463,2,0.9592056274414062,2.0,0.9542608529603361
Void Filling Stigmas,0.2491972875304782,2.0,9.36512733460404e-05,2,0.9964678287506104,2,0.00011383504897821695,2.0,0.24918211371493726
Volunteering,0.5652965642511845,2.0,0.008117180317640305,2,0.9835453629493713,2,0.8033678531646729,2.0,0.5652774917301031
Voracity,0.563934451341629,2.0,0.1795034110546112,2,0.9732795357704163,2,0.4278840124607086,2.0,0.563868997112786
Wanderlust,0.9249708175659179,1.0,0.7713297009468079,1,0.9976142644882202,1,0.9636498689651489,1.0,0.9249541865565334
Work to Personal Conflict,0.43341072760522364,1.8,0.026212045922875404,1,0.996831476688385,2,0.10338789224624634,2.0,0.4236559522558309
